Date,Seoul,Busan,Daegu,Incheon,Daejeon,Ulsan,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Gyeongbuk,Gyeongnam,Jeju,Sejong
2023년01월,1759.17,1640.48,1626.49,1649.21,1681.39,1640.92,1671.31,1700.8,1681,1690.62,1671.73,1656.55,1662.75,1692.73,1689.99
2023년02월,1694.53,1576.4,1557.98,1579.82,1603.6,1576.79,1603.58,1636.05,1608.79,1618.8,1603.34,1586.6,1595.98,1627.73,1608.43
2023년03월,1635.38,1514.58,1496.29,1516.49,1538.07,1512.67,1536.31,1565.48,1542.61,1550.56,1534.45,1516.18,1528.82,1575.71,1538.61
2023년04월,1633.88,1512.8,1502.55,1530.29,1541.71,1511.35,1540.17,1550.19,1535.64,1544,1524.24,1514.51,1522.5,1567.99,1539.85
2023년05월,1576.39,1454.43,1422.07,1437.73,1459.65,1450.06,1468.68,1498.96,1482.19,1486.24,1456.06,1453.19,1464.94,1473.55,1478.17
2023년06월,1502.67,1376,1350.97,1370.2,1388.27,1367.14,1389.69,1416.76,1402.02,1406.48,1381.38,1374.45,1384.26,1414.28,1406.25
2023년07월,1508.8,1374.3,1365.36,1398.39,1396.35,1367.73,1399.42,1408.3,1399.61,1401.12,1387.03,1374.9,1379.06,1442.76,1403.73
2023년08월,1674.89,1562.77,1561.24,1599.91,1584.29,1560.65,1588.53,1578.37,1571.65,1566.06,1544.36,1555.07,1560.68,1644.37,1576.35
2023년09월,1751.44,1653.87,1637.13,1665.36,1666.05,1649.54,1672.49,1679.35,1667.27,1667.02,1647.3,1650.43,1655.23,1747.76,1671.04
2023년10월,1770.9,1673.81,1647.08,1676.89,1680.77,1668.04,1692.98,1709.78,1696.09,1697.99,1676.96,1675.65,1678.13,1742.99,1696.71
2023년11월,1703.18,1597.99,1585.18,1605.79,1614.86,1601.89,1623.77,1655.58,1638.56,1643.47,1620.59,1614.9,1617.67,1651.83,1630.38
2023년12월,1609.46,1492.05,1478.81,1510.53,1513.91,1490.64,1522.62,1554.21,1539.58,1544.65,1522.48,1509.03,1511.08,1538.5,1525
2024년01월,1568.06,1451.7,1434.82,1470.35,1472.48,1449.98,1480.8,1505.37,1491.86,1491.06,1473.59,1461.18,1464.49,1492.87,1485.53
2024년02월,1611.32,1500.35,1485.28,1521.67,1517.87,1500.28,1522.3,1531.19,1521.25,1519.58,1503.32,1501.49,1501.91,1586.23,1520.31
2024년03월,1623.32,1521.93,1505.28,1539.92,1535.61,1522.54,1543.12,1550.21,1540.82,1543.74,1525.08,1525.72,1524.79,1588.92,1540.37
2024년04월,1641.57,1537.78,1522.65,1558.05,1560.14,1535.32,1559.06,1570.02,1560.15,1564.47,1544.35,1542.65,1544.53,1635.42,1558.99
2024년05월,1627.24,1515.16,1495.47,1526.28,1538.74,1511.88,1537.43,1563.95,1545.49,1549.2,1527.16,1522.56,1531.27,1558.92,1541.58
2024년06월,1580.46,1467.08,1441.93,1459.57,1483.56,1464.65,1483.08,1511.38,1496.42,1495.24,1477.95,1466.84,1477.23,1530.89,1486.46
2024년07월,1637.64,1530.19,1512.06,1546.7,1557.84,1520.96,1548.3,1553.23,1544.71,1540.33,1526,1522.24,1524.91,1613.79,1541.33
2024년08월,1615.62,1507.17,1492.63,1535.63,1528.09,1501.27,1529.6,1548.93,1532.7,1534.13,1514.41,1511.44,1517.03,1564.53,1525.78
2024년09월,1544.18,1435.19,1415.41,1450.28,1453.31,1433.22,1452.72,1479.94,1466.1,1470.94,1449.32,1443.08,1448.29,1473.68,1459.24
