Date,Seoul,Busan,Daegu,Incheon,Daejeon,Ulsan,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Gyeongbuk,Gyeongnam,Jeju,Sejong
2024년10월,1511.46,1394.06,1379.85,1418.79,1420.85,1399.35,1418.79,1440.3,1428.6,1430.32,1415.12,1407.34,1408.04,1453.94,1421.7
2024년11월,1552.6,1434.12,1424.26,1465.04,1462.46,1437.38,1463.43,1476.98,1466.57,1466.19,1446.01,1448.44,1445.46,1527.02,1465.74
2024년12월,1576.73,1480.94,1464.66,1495.39,1494.41,1476.16,1498.25,1509.09,1501.14,1500.74,1484.38,1488.14,1487.31,1548.79,1501.75
2025년01월,1643.45,1554.23,1534.73,1568.22,1564.16,1546.99,1566.29,1571.22,1566.79,1565.65,1548.8,1552.44,1555.61,1605.65,1565.55
2025년02월,1665.71,1579.33,1562.8,1594.8,1592.72,1575.9,1594.77,1606.84,1599.32,1598.19,1579.21,1582.48,1584.05,1645.38,1603.68
2025년03월,1625.31,1531.36,1517.56,1534.43,1541.39,1528.37,1546.24,1579.58,1565.2,1561.31,1549.7,1545.63,1545.85,1614.45,1560
2025년04월,1592.64,1481.91,1469.02,1501.87,1497.68,1474.98,1505.4,1541.68,1523.92,1520,1512.32,1499.47,1502.51,1559.51,1516.4
2025년05월,1592.06,1474.67,1457.75,1499.86,1499.99,1463.44,1498.32,1525.82,1511.45,1509.34,1498.24,1484.17,1488.69,1545.36,1501.89
2025년06월,1593.57,1489.33,1466.97,1506.37,1505.56,1483.76,1502.53,1519.43,1513.9,1509.67,1497.69,1491,1493.62,1557.12,1500.88
2025년07월,1618.38,1521.55,1498.24,1533.68,1532.44,1518.8,1531.24,1544.06,1535.66,1532.47,1517.23,1519.44,1520.92,1583.8,1523.82
2025년08월,1614.59,1528.17,1500.34,1530.79,1530.09,1516,1531.97,1552.67,1540.98,1539.43,1526.32,1523.44,1526.8,1586.5,1528.76
2025년09월,1604.3,1519.53,1495.2,1525.2,1520.41,1513.07,1523.5,1550.49,1537.2,1535.47,1523.73,1519.88,1523.24,1585.84,1524.24
2025년10월,1610.52,1519.82,1504.84,1534.16,1530.28,1517.27,1530.56,1554.67,1541.6,1540.76,1529.05,1526.58,1526.32,1613.63,1527.99
2025년11월,1693.34,1599.41,1593.92,1623.87,1625.23,1610.34,1620.86,1630.32,1620.46,1618.87,1605.8,1607.34,1602.82,1698.86,1615.89
2025년12월,1712.71,1630.66,1623.15,1643.48,1641.29,1638.5,1644.26,1672.31,1648.98,1653.28,1638.03,1646.57,1642.49,1715.75,1646.53
2026년01월,1665.54,1577.95,1563.32,1591.52,1587.52,1584.24,1590.31,1630.37,1605.33,1602.89,1590.4,1595.08,1595.06,1635.61,1591.91
2026년02월,1657.69,1562.62,1547,1594.28,1579.38,1558.85,1583.61,1610.6,1596.06,1590.19,1577.92,1576,1579.25,1618.7,1581.02
2026년03월,1862.51,1808.26,1819.36,1835.23,1823.02,1826.99,1833.86,1817.65,1836.09,1840.75,1820.17,1824.95,1828.22,1852.23,1825.1
2026년04월,2005.46,1965.62,1964.77,1977.93,1967.57,1971.79,1982.77,1980.69,1986.66,1981.85,1970.65,1975.43,1978.39,2005.3,1974.46
2026년05월,2038.85,1992.43,1987.42,2005.31,1996.47,1996.28,2005.69,2013.34,2010.86,2009.28,2002.27,1999.13,2000.44,2020.38,2003.71
2026년06월,2032.56,1981.91,1977.48,1991.74,1985.29,1986.54,1996.12,2008.22,2005.8,2003.37,1997.25,1994.25,1994.65,2015.93,1996.83
