month,sido,product,avg_price
2025-07-01,강원,일반휘발유,"1,678.62"
2025-07-01,경기,일반휘발유,"1,671.41"
2025-07-01,경남,일반휘발유,"1,657.59"
2025-07-01,경북,일반휘발유,"1,657.44"
2025-07-01,광주,일반휘발유,"1,652.25"
2025-07-01,대구,일반휘발유,"1,639.76"
2025-07-01,대전,일반휘발유,"1,657.53"
2025-07-01,부산,일반휘발유,"1,657.40"
2025-07-01,서울,일반휘발유,"1,738.73"
2025-07-01,세종,일반휘발유,"1,650.41"
2025-07-01,울산,일반휘발유,"1,639.48"
2025-07-01,인천,일반휘발유,"1,669.38"
2025-07-01,전남,일반휘발유,"1,665.53"
2025-07-01,전북,일반휘발유,"1,653.38"
2025-07-01,제주,일반휘발유,"1,719.25"
2025-07-01,충남,일반휘발유,"1,671.34"
2025-07-01,충북,일반휘발유,"1,669.19"
2025-08-01,강원,일반휘발유,"1,681.61"
2025-08-01,경기,일반휘발유,"1,665.91"
2025-08-01,경남,일반휘발유,"1,656.91"
2025-08-01,경북,일반휘발유,"1,657.77"
2025-08-01,광주,일반휘발유,"1,649.31"
2025-08-01,대구,일반휘발유,"1,636.54"
2025-08-01,대전,일반휘발유,"1,649.00"
2025-08-01,부산,일반휘발유,"1,656.78"
2025-08-01,서울,일반휘발유,"1,732.10"
2025-08-01,세종,일반휘발유,"1,651.62"
2025-08-01,울산,일반휘발유,"1,636.21"
2025-08-01,인천,일반휘발유,"1,657.73"
2025-08-01,전남,일반휘발유,"1,670.16"
2025-08-01,전북,일반휘발유,"1,655.80"
2025-08-01,제주,일반휘발유,"1,710.69"
2025-08-01,충남,일반휘발유,"1,671.29"
2025-08-01,충북,일반휘발유,"1,669.24"
2025-09-01,강원,일반휘발유,"1,678.08"
2025-09-01,경기,일반휘발유,"1,656.65"
2025-09-01,경남,일반휘발유,"1,652.67"
2025-09-01,경북,일반휘발유,"1,653.81"
2025-09-01,광주,일반휘발유,"1,644.20"
2025-09-01,대구,일반휘발유,"1,629.10"
2025-09-01,대전,일반휘발유,"1,639.02"
2025-09-01,부산,일반휘발유,"1,646.20"
2025-09-01,서울,일반휘발유,"1,720.79"
2025-09-01,세종,일반휘발유,"1,646.50"
2025-09-01,울산,일반휘발유,"1,632.10"
2025-09-01,인천,일반휘발유,"1,649.41"
2025-09-01,전남,일반휘발유,"1,665.56"
