month,sido,product,avg_price
2025-07-01,강원,일반휘발유,1678.62
2025-07-01,경기,일반휘발유,1671.41
2025-07-01,경남,일반휘발유,1657.59
2025-07-01,경북,일반휘발유,1657.44
2025-07-01,광주,일반휘발유,1652.25
2025-07-01,대구,일반휘발유,1639.76
2025-07-01,대전,일반휘발유,1657.53
2025-07-01,부산,일반휘발유,1657.4
2025-07-01,서울,일반휘발유,1738.73
2025-07-01,세종,일반휘발유,1650.41
2025-07-01,울산,일반휘발유,1639.48
2025-07-01,인천,일반휘발유,1669.38
2025-07-01,전남,일반휘발유,1665.53
2025-07-01,전북,일반휘발유,1653.38
2025-07-01,제주,일반휘발유,1719.25
2025-07-01,충남,일반휘발유,1671.34
2025-07-01,충북,일반휘발유,1669.19
2025-08-01,강원,일반휘발유,1681.61
2025-08-01,경기,일반휘발유,1665.91
2025-08-01,경남,일반휘발유,1656.91
2025-08-01,경북,일반휘발유,1657.77
2025-08-01,광주,일반휘발유,1649.31
2025-08-01,대구,일반휘발유,1636.54
2025-08-01,대전,일반휘발유,1649
2025-08-01,부산,일반휘발유,1656.78
2025-08-01,서울,일반휘발유,1732.1
2025-08-01,세종,일반휘발유,1651.62
2025-08-01,울산,일반휘발유,1636.21
2025-08-01,인천,일반휘발유,1657.73
2025-08-01,전남,일반휘발유,1670.16
2025-08-01,전북,일반휘발유,1655.8
2025-08-01,제주,일반휘발유,1710.69
2025-08-01,충남,일반휘발유,1671.29
2025-08-01,충북,일반휘발유,1669.24
2025-09-01,강원,일반휘발유,1678.08
2025-09-01,경기,일반휘발유,1656.65
2025-09-01,경남,일반휘발유,1652.67
2025-09-01,경북,일반휘발유,1653.81
2025-09-01,광주,일반휘발유,1644.2
2025-09-01,대구,일반휘발유,1629.1
2025-09-01,대전,일반휘발유,1639.02
2025-09-01,부산,일반휘발유,1646.2
2025-09-01,서울,일반휘발유,1720.79
2025-09-01,세종,일반휘발유,1646.5
2025-09-01,울산,일반휘발유,1632.1
2025-09-01,인천,일반휘발유,1649.41
2025-09-01,전남,일반휘발유,1665.56
2025-09-01,전북,일반휘발유,1652.91
2025-09-01,제주,일반휘발유,1710.16
2025-09-01,충남,일반휘발유,1666.43
2025-09-01,충북,일반휘발유,1664.61
2025-10-01,강원,일반휘발유,1680.35
2025-10-01,경기,일반휘발유,1660.18
2025-10-01,경남,일반휘발유,1653.46
