month,가솔린,전기,디젤,하이브리드
2023-01-01,1651869,51045,687870,172079
2023-02-01,1651759,50957,685161,174724
2023-03-01,1654576,52101,681839,178558
2023-04-01,1655767,52876,678931,181496
2023-05-01,1655653,53800,676092,184649
2023-06-01,1656202,55268,673490,188646
2023-07-01,1656473,55879,671172,191909
2023-08-01,1655858,56490,668407,194904
2023-09-01,1656752,57811,666143,198136
2023-10-01,1656336,58938,663181,201606
2023-11-01,1655585,60154,659739,205886
2023-12-01,1654223,61304,657067,209947
2024-01-01,1653825,61208,654437,214592
2024-02-01,1652641,61273,652118,218275
2024-03-01,1651184,62607,647911,222687
2024-04-01,1650162,63319,644617,226807
2024-05-01,1649027,64450,642121,230807
2024-06-01,1648579,65999,639296,234792
2024-07-01,1647681,67154,635459,238542
2024-08-01,1646156,67939,632292,241777
2024-09-01,1645573,68438,629164,246391
2024-10-01,1643065,68906,625190,250834
2024-11-01,1641245,70021,622039,256227
2024-12-01,1638268,71005,619097,262346
2025-01-01,1637935,70736,616765,266467
2025-02-01,1635496,71258,613924,270842
2025-03-01,1634637,72401,610279,275669
2025-04-01,1632591,73278,606470,280794
2025-05-01,1629168,75181,602962,285767
2025-06-01,1627522,77028,599754,290959
2025-07-01,1624305,78270,596367,295545
2025-08-01,1621115,80270,593542,299387
2025-09-01,1618836,82501,589102,304158
2025-10-01,1615915,83881,585545,308021
2025-11-01,1613309,86344,582158,312617
2025-12-01,1610768,86969,578612,318351
